Species,Condition,Value,,Species,Condition,Value,,
Chloroflexi,Intermediate,5,,,,,,
Firmicutes,Intermediate,1,,,,,,
Gemmatimonadetes,Intermediate,2,,,,,,
Nitrospirae,Intermediate,2,,,,,,
Planctomycetes,Intermediate,7,,,,,,
Proteobacteria,Intermediate,18,,,,,,
Verrucomicrobia,Intermediate,12,,,,,,
Others,Intermediate,0,,,,,,
Acidobacteria,Conventional,15,,,,,,
Actinobacteria,Conventional,28.25,,,,,,
Bacteroidetes,Conventional,2.5,,,,,,
Chloroflexi,Conventional,8.75,,,,,,
Firmicutes,Conventional,6.75,,,,,,
Proteobacteria,Conventional,26,,,,,,
Gemmatimonadetes,Conventional,3.25,,,,,,
Others,Conventional,9.5,,,,,,
Acidobacteria,Organic,14.5,,,,,,
Actinobacteria,Organic,32.5,,,,,,
Bacteroidetes,Organic,3,,,,,,
Chloroflexi,Organic,9.5,,,,,,
Firmicutes,Organic,4.5,,,,,,
Proteobacteria,Organic,23.5,,,,,,
Gemmatimonadetes,Organic,2,,,,,,
Others,Organic,10.5,,,,,,
Proteobacteria,Organic,30,,,,,,
Actinobacteria,Organic,22,,,,,,
Acidobacteria,Organic,11,,,,,,
Firmicutes,Organic,8,,,,,,
Bacteroidetes,Organic,7,,,,,,
Chloroflexi,Organic,6,,,,,,
Planctomycetes,Organic,4,,,,,,
Gemmatimonadetes,Organic,2,,,,,,
Verrucomicrobia,Organic,2,,,,,,
Nitrospirae,Organic,1,,,,,,
Others,Organic,7,,,,,,
Proteobacteria,Conventional,33,,,,,,
Actinobacteria,Conventional,17,,,,,,
Acidobacteria,Conventional,9,,,,,,
Firmicutes,Conventional,10,,,,,,
Bacteroidetes,Conventional,10,,,,,,
Chloroflexi,Conventional,5,,,,,,
Planctomycetes,Conventional,3,,,,,,
Gemmatimonadetes,Conventional,3,,,,,,
Verrucomicrobia,Conventional,1.5,,,,,,
Nitrospirae,Conventional,1.5,,,,,,
Others,Conventional,7,,,,,,
Proteobacteria,Conventional,51,,,,,,
Firmicutes,Conventional,7,,,,,,
Acidobacteria,Conventional,14,,,,,,
Bacteroidetes,Conventional,10,,,,,,
Actinobacteria,Conventional,4,,,,,,
Verrucomicrobia,Conventional,2,,,,,,
Others,Conventional,12,,,,,,
Proteobacteria,Organic,47,,,,,,
Firmicutes,Organic,6.3,,,,,,
Acidobacteria,Organic,18,,,,,,
Bacteroidetes,Organic,9,,,,,,
Actinobacteria,Organic,5,,,,,,
Verrucomicrobia,Organic,3,,,,,,
Others,Organic,11.7,,,,,,
Proteobacteria,Conventional,30,,,,,,
Firmicutes,Conventional,9,,,,,,
Actinobacteria,Conventional,8,,,,,,
Acidobacteria,Conventional,11,,,,,,
Bacteroidetes,Conventional,14,,,,,,
Verrucomicrobia,Conventional,1,,,,,,
TM7,Conventional,0.75,,,,,,
Gemmatimonadetes,Conventional,8,,,,,,
Armatimonadota,Conventional,0.75,,,,,,
Nitrospirae,Conventional,1,,,,,,
Planctomycetes,Conventional,4,,,,,,
Others,Conventional,12.5,,,,,,
Proteobacteria,Organic,35,,,,,,
Firmicutes,Organic,8.5,,,,,,
Actinobacteria,Organic,6.5,,,,,,
Acidobacteria,Organic,14,,,,,,
Bacteroidetes,Organic,16,,,,,,
Verrucomicrobia,Organic,1,,,,,,
TM7,Organic,1.5,,,,,,
Gemmatimonadetes,Organic,4.5,,,,,,
Armatimonadota,Organic,1.75,,,,,,
Nitrospirae,Organic,1.875,,,,,,
Planctomycetes,Organic,1,,,,,,
Others,Organic,8.375,,,,,,
